TH	SFDR	SCNPV	IFDR	ICNPV
0.199	0.188	0.240	0.188	0.240
0.200	0.185	0.240	0.185	0.240
0.201	0.185	0.240	0.185	0.240
0.202	0.185	0.240	0.185	0.240
0.203	0.185	0.240	0.185	0.240
0.204	0.185	0.240	0.185	0.240
0.205	0.182	0.242	0.182	0.242
0.206	0.182	0.242	0.182	0.242
0.207	0.182	0.242	0.182	0.242
0.208	0.182	0.242	0.182	0.242
0.209	0.182	0.242	0.182	0.242
0.210	0.179	0.241	0.179	0.241
0.211	0.179	0.241	0.179	0.241
0.212	0.179	0.241	0.179	0.241
0.213	0.179	0.241	0.179	0.241
0.214	0.179	0.241	0.179	0.241
0.215	0.175	0.242	0.175	0.242
0.216	0.175	0.242	0.175	0.242
0.217	0.175	0.242	0.175	0.242
0.218	0.175	0.242	0.175	0.242
0.219	0.175	0.242	0.175	0.242
0.220	0.172	0.242	0.172	0.242
0.221	0.172	0.242	0.172	0.242
0.222	0.172	0.242	0.172	0.242
0.223	0.172	0.242	0.172	0.242
0.224	0.172	0.242	0.172	0.242
0.225	0.170	0.243	0.170	0.243
0.226	0.170	0.243	0.170	0.243
0.227	0.170	0.243	0.170	0.243
0.228	0.170	0.243	0.170	0.243
0.229	0.170	0.243	0.170	0.243
0.230	0.166	0.243	0.166	0.243
0.231	0.166	0.243	0.166	0.243
0.232	0.166	0.243	0.166	0.243
0.233	0.166	0.243	0.166	0.243
0.234	0.166	0.243	0.166	0.243
0.235	0.164	0.242	0.164	0.242
0.236	0.164	0.242	0.164	0.242
0.237	0.164	0.242	0.164	0.242
0.238	0.164	0.242	0.164	0.242
0.239	0.164	0.242	0.164	0.242
0.240	0.161	0.242	0.161	0.242
0.241	0.161	0.242	0.161	0.242
0.242	0.161	0.242	0.161	0.242
0.243	0.161	0.242	0.161	0.242
0.244	0.161	0.242	0.161	0.242
0.245	0.158	0.243	0.158	0.243
0.246	0.158	0.243	0.158	0.243
0.247	0.158	0.243	0.158	0.243
0.248	0.158	0.243	0.158	0.243
0.249	0.158	0.243	0.158	0.243
0.250	0.157	0.243	0.157	0.243
0.251	0.157	0.243	0.157	0.243
